,Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,Spectrum,Gender
10,densenet121,0.91863865,0.08111152,0.5792033,0.14779794,2.8473098044252905,0.9736592768502712,0.8297694824168396,0.811678409576416,0.6671379163128648,0.8799570798873901,0.0912810383747178,0.0913705583756345,0.0913257983751761,0.9949238578680204,0.817258883248731,0.4365482233502538,0.1522842639593908,0.0812182741116751,0.2981094808126411,0.7916542291641235,1.0853310823440552,0.9885114431381226,0.9189397096633912,0.8351998329162598,0.7815901041030884,0.6572940945625305,VIS,female
11,densenet121,0.9005798,0.10245611,0.54117715,0.15187338,2.7743888697630514,0.9705537679404476,0.8625050483265656,0.7694826126098633,0.6009318905164993,0.8764368295669556,0.069870900209351,0.0698818897637795,0.0698763949865652,0.999015748031496,0.8041338582677166,0.389763779527559,0.1023622047244094,0.0492125984251968,0.9866102581995811,0.7711910605430603,1.1081583499908447,0.9733506441116332,0.8916552066802979,0.7968833446502686,0.7411951422691345,0.2212082743644714,VIS,all
12,inception_v3,0.8463216,0.09298302,0.56906426,0.11473366,2.6550556431724543,0.9628795047344632,0.8280177480066052,0.7260209918022156,0.6394906695474301,0.8450560569763184,0.0876623376623376,0.0883372539309149,0.0879997957966263,0.9918831168831168,0.8003246753246753,0.3993506493506493,0.1477272727272727,0.0811688311688311,0.8243159588956296,0.7285171747207642,1.0373420715332031,0.9196425080299376,0.8378458023071289,0.7616310119628906,0.719640851020813,0.4605621099472046,VIS,male
13,inception_v3,0.8644361,0.08927197,0.56302106,0.11151491,2.9840834117089035,0.9753239907873176,0.8346930824672572,0.7192001938819885,0.6902115057848224,0.8307473659515381,0.0836625282167043,0.0837563451776649,0.0837094366971846,0.8934010152284264,0.7258883248730964,0.3807106598984771,0.1624365482233502,0.0685279187817258,0.324068848758465,0.7253689765930176,0.968982994556427,0.9239261150360109,0.8501531481742859,0.7671583890914917,0.7114537954330444,0.6072952151298523,VIS,female
14,inception_v3,0.8512563,0.09581839,0.53736055,0.11352678,2.9881628903718727,0.9738406427893412,0.8557677646147337,0.7257338166236877,0.6563810386753726,0.8339923620223999,0.0738180390788555,0.0738188976377952,0.0738184683583254,0.9921259842519684,0.6663385826771654,0.3080708661417323,0.1043307086614173,0.0521653543307086,0.771872819260293,0.708707332611084,1.0372967720031738,0.8994682431221008,0.8161344528198242,0.733189046382904,0.6877588629722595,0.4498311281204223,VIS,all
15,resnet50,0.90180355,0.08065871,0.6396099,0.13814126,2.317992128612613,0.9478169935796528,0.7868118788479072,0.7832345962524414,0.4736899275692021,0.8815963864326477,0.1135941562461309,0.1136363636363636,0.1136152599412473,0.9967532467532468,0.9707792207792209,0.7077922077922078,0.2987012987012987,0.1363636363636363,0.8463538442491024,0.8109493255615234,1.108143329620361,1.0340744256973269,0.9492172002792358,0.8674970865249634,0.820696234703064,0.5009774565696716,VIS,male
16,resnet50,0.9297211,0.069523856,0.65879613,0.1515942,2.297362047488756,0.9554301400236048,0.7771195471577041,0.8090556859970093,0.5512536108788795,0.9181160926818848,0.1192893401015228,0.1207674943566591,0.120028417229091,0.9898477157360406,0.931472081218274,0.6522842639593909,0.2690355329949238,0.1395939086294416,0.3325338600451467,0.8365939259529114,1.0692787170410156,1.0264687538146973,0.9631525278091432,0.8903132081031799,0.8492304086685181,0.7359029650688171,VIS,female
17,resnet50,0.9094334,0.08834359,0.5755063,0.15811351,2.6073547976865603,0.9653088743055974,0.8465451244841777,0.7832468152046204,0.4918006578648964,0.8829632997512817,0.0836614173228346,0.0840239009071877,0.0838426591150111,0.9960629921259844,0.937992125984252,0.5698818897637795,0.1860236220472441,0.0570866141732283,0.977865491974878,0.8009885549545288,1.0940587520599363,1.0186424255371094,0.9329683780670166,0.8411153554916382,0.7863012552261353,0.2750647664070129,VIS,all
18,inception_resnet_v2,0.91871333,0.084561564,0.62573636,0.13261284,2.634368507224929,0.9727804037920726,0.8595066719834579,0.8261027336120605,0.6894489498404158,0.8883448839187622,0.0714285714285714,0.0729850191902934,0.0722067953094324,0.9853896103896104,0.7451298701298701,0.3327922077922078,0.099025974025974,0.0519480519480519,0.9961000371425034,0.818721354007721,1.0300745964050293,0.9693626165390016,0.9049249887466432,0.8388075232505798,0.796603798866272,0.2592525482177734,VIS,male
19,inception_resnet_v2,0.9359826,0.057710983,0.638339,0.13427213,2.880151799164289,0.9852703790491688,0.894905667403834,0.8222346305847168,0.7232390595908318,0.9007167816162109,0.0582674943566591,0.0583756345177665,0.0583215644372128,0.7893401015228426,0.682741116751269,0.3274111675126903,0.0685279187817258,0.015228426395939,0.2546557562076749,0.8415880799293518,0.9872623682022096,0.9717611074447632,0.9124633073806764,0.8478072285652161,0.8108143210411072,0.7339583039283752,VIS,female
