,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
78,ResNet50,0.97855628,0.0734,0.9532,0.0464,0.1126,0.4198,0.7776,F75M25,M100
79,ResNet50,0.98565692,0.0602,0.8174,0.0246,0.0788,0.3006,0.7046,M100,M100
80,VGG19,0.97534852,0.0808,0.806,0.0548,0.136,0.4476,0.7178,F100,M100
81,VGG19,0.97905428,0.0732,0.8422,0.0462,0.1268,0.3684,0.6678,F25M75,M100
82,VGG19,0.98524046,0.0586,0.8602,0.0248,0.0668,0.3092,0.7126,F50M50,M100
83,VGG19,0.97440226,0.0824,0.8862,0.0668,0.15,0.4532,0.774,F75M25,M100
84,VGG19,0.97458852,0.0798,0.9748,0.0544,0.1424,0.5134,0.8288,M100,M100
85,Xception,0.96176576,0.1043,0.9044,0.112,0.234,0.5248,0.8362,F100,M100
86,Xception,0.97448936,0.0806,0.9714,0.0548,0.1502,0.4712,0.8892,F25M75,M100
87,Xception,0.97731354,0.073,0.9632,0.0464,0.126,0.4518,0.8752,F50M50,M100
88,Xception,0.96805174,0.0898,0.9266,0.077,0.1946,0.5196,0.8494,F75M25,M100
89,Xception,0.97575816,0.0794,0.8062,0.0558,0.1352,0.4418,0.697,M100,M100
90,DenseNet121,0.98139668,0.0678,0.815,0.0376,0.1032,0.371,0.711,F100,F50M50
91,DenseNet121,0.98823362,0.0504,0.8686,0.018,0.0516,0.2622,0.5496,F25M75,F50M50
92,DenseNet121,0.98983236,0.0474,0.6852,0.0152,0.043,0.2338,0.614,F50M50,F50M50
93,DenseNet121,0.98610816,0.0596,0.8574,0.0258,0.0734,0.2552,0.6072,F75M25,F50M50
94,DenseNet121,0.98214812,0.0658,0.8416,0.0398,0.0906,0.3268,0.665,M100,F50M50
95,EfficientNetB0,0.98634418,0.059,0.7146,0.0254,0.072,0.2472,0.618,F100,F50M50
96,EfficientNetB0,0.98931224,0.0494,0.8496,0.0154,0.0492,0.2128,0.5664,F25M75,F50M50
97,EfficientNetB0,0.99150668,0.0466,0.7332,0.0132,0.0424,0.1834,0.4622,F50M50,F50M50
98,EfficientNetB0,0.99041156,0.0482,0.7192,0.011,0.0472,0.2346,0.5142,F75M25,F50M50
99,EfficientNetB0,0.98691956,0.0558,0.8712,0.0222,0.0678,0.2682,0.5944,M100,F50M50
100,EfficientNetB4,0.9830395,0.0648,0.9128,0.035,0.083,0.3884,0.6564,F100,F50M50
